市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,4305,世坤,0,2000,-2000,0,0,0,0,0,0
TPEX,4401,東隆興,17000,3000,14000,0,0,0,0,0,0
TPEX,4402,郡都開發,0,14000,-14000,0,0,0,0,13,-13
TPEX,4417,金洲,29000,6000,23000,0,0,0,0,0,0
TPEX,4420,光明,25000,5000,20000,0,0,0,6000,0,6000
TPEX,4430,耀億,3000,7000,-4000,0,0,0,0,0,0
TPEX,4432,銘旺實,3000,7000,-4000,0,0,0,0,0,0
TPEX,4433,興采,0,2000,-2000,0,0,0,0,0,0
TPEX,4502,健信,5000,0,5000,0,0,0,0,0,0
TPEX,4503,金雨,164000,26000,138000,0,0,0,0,0,0
TPEX,4506,崇友,30000,9000,21000,0,0,0,2,0,2
TPEX,4510,高鋒,1268000,1398000,-130000,0,0,0,31323,3879,27444
TPEX,4513,福裕,53000,11000,42000,0,0,0,530,0,530
TPEX,4523,永彰,72000,3000,69000,0,0,0,2,0,2
TPEX,4527,方土霖,51000,8000,43000,0,0,0,0,0,0
TPEX,4528,江興鍛,2000,0,2000,0,0,0,0,0,0
TPEX,4530,宏易,0,0,0,0,0,0,0,3,-3
TPEX,4533,協易機,284000,105000,179000,0,0,0,0,0,0
TPEX,4534,慶騰,116000,43000,73000,0,0,0,0,0,0
